datetime,site_no,Q_cfs,qc_code,gage,lat,lon,name
1999-10-01 00:00:00+00:00,09246200,6.2,A,09246200,40.59163879,-107.3208933,"ELKHEAD CREEK ABOVE LONG GULCH, NEAR HAYDEN, CO"
1999-10-02 00:00:00+00:00,09246200,6.2,A,09246200,40.59163879,-107.3208933,"ELKHEAD CREEK ABOVE LONG GULCH, NEAR HAYDEN, CO"
1999-10-03 00:00:00+00:00,09246200,5.9,A,09246200,40.59163879,-107.3208933,"ELKHEAD CREEK ABOVE LONG GULCH, NEAR HAYDEN, CO"
1999-10-04 00:00:00+00:00,09246200,5.6,A,09246200,40.59163879,-107.3208933,"ELKHEAD CREEK ABOVE LONG GULCH, NEAR HAYDEN, CO"
1999-10-05 00:00:00+00:00,09246200,5.5,A,09246200,40.59163879,-107.3208933,"ELKHEAD CREEK ABOVE LONG GULCH, NEAR HAYDEN, CO"
1999-10-06 00:00:00+00:00,09246200,5.6,A,09246200,40.59163879,-107.3208933,"ELKHEAD CREEK ABOVE LONG GULCH, NEAR HAYDEN, CO"
1999-10-07 00:00:00+00:00,09246200,6.3,A,09246200,40.59163879,-107.3208933,"ELKHEAD CREEK ABOVE LONG GULCH, NEAR HAYDEN, CO"
1999-10-08 00:00:00+00:00,09246200,8.0,A,09246200,40.59163879,-107.3208933,"ELKHEAD CREEK ABOVE LONG GULCH, NEAR HAYDEN, CO"
1999-10-09 00:00:00+00:00,09246200,8.1,A,09246200,40.59163879,-107.3208933,"ELKHEAD CREEK ABOVE LONG GULCH, NEAR HAYDEN, CO"
1999-10-10 00:00:00+00:00,09246200,6.8,A,09246200,40.59163879,-107.3208933,"ELKHEAD CREEK ABOVE LONG GULCH, NEAR HAYDEN, CO"
1999-10-11 00:00:00+00:00,09246200,6.2,A,09246200,40.59163879,-107.3208933,"ELKHEAD CREEK ABOVE LONG GULCH, NEAR HAYDEN, CO"
1999-10-12 00:00:00+00:00,09246200,6.1,A,09246200,40.59163879,-107.3208933,"ELKHEAD CREEK ABOVE LONG GULCH, NEAR HAYDEN, CO"
