,Q_mmd,Q_cfs,gage,prcp,srad,swe,tmax,tmin,vp,eto,vpd
2024-04-01,320.9488056223834,27.7,09019850,0.8793235239885064,511.6302918806112,297.5381208983645,2.331970724370412,-8.76936977488109,316.8559318933568,1.7877264117112843,0.2235490402791876
2024-04-02,325.5834454147644,28.1,09019850,0.0,619.2847243034859,297.5381208983645,3.87330714475727,-9.436611505725333,300.4580568964549,2.317760084951264,0.2926109703207326
2024-04-03,409.00696167762214,35.3,09019850,0.0,642.0381206423644,297.40038124003536,8.727882532815356,-5.7962776197760855,391.1005342935453,2.9189008954770737,0.4603922132273159
2024-04-04,639.5802913485765,55.2,09019850,0.0,703.5584819673143,297.3869252436036,11.85104452828142,-6.272085157261199,362.3325436309683,3.4840551599146736,0.63332849820827
2024-04-05,1332.458940309534,115.0,09019850,0.0,652.836069429288,296.3368036848374,11.858917191304878,-3.49952621731766,452.2873853066826,3.6976775507986055,0.6521212173317099
2024-04-06,1737.9899221428705,150.0,09019850,4.536730770708347,414.1478825612333,300.8733600616243,1.2684062577938675,-10.044596754033735,287.4302742834056,1.7137190498015886,0.1731603613520134
2024-04-07,1101.88561063858,95.1,09019850,0.0,493.8346480828537,300.8733600616243,-1.7085615847148112,-11.191587625041471,261.63279803727727,1.7305427031105685,0.1732378380012412
2024-04-08,745.0183466252438,64.3,09019850,0.0,652.724855955988,300.8733600616243,1.2729903567290144,-12.78187594922196,230.33318399718095,1.965966204510944,0.2160687799539936
2024-04-09,631.4696717119097,54.5,09019850,2.120753952093446,628.1100466203224,302.9941001872102,4.715535740621303,-13.127231684013342,218.8818541993984,2.248267469257644,0.2749430582101995
2024-04-10,543.4115156566709,46.9,09019850,0.0,596.2702619266526,302.9940068986089,3.925065303048345,-7.98327889270661,336.27703825188,2.142760488296072,0.2579021955618165
2024-04-11,581.647293943814,50.2,09019850,0.0,710.5737994056014,302.9940068986089,7.179471787367525,-9.417563688975855,287.4679418710234,2.7624324284085704,0.3815318735890627
2024-04-12,958.2117770747693,82.7,09019850,0.0,737.6056904692236,302.9712663087802,12.755253122006271,-6.166434233796779,340.767302444498,3.7003957353135175,0.673369194736888
2024-04-13,1633.7105268142984,141.0,09019850,0.0,656.9529406051759,301.1724783616009,13.10666912747491,-1.7167158983187547,484.7664280466823,3.719788911113474,0.6930258454787098
2024-04-14,2572.2250847714486,222.0,09019850,0.0,721.2886031470305,299.95264440980566,14.958550621212591,-3.0947832691207213,401.5097423394916,4.125916427844207,0.8062326444379612
2024-04-15,3893.09742560003,336.0,09019850,23.919170292108237,514.8957869329837,301.003399774608,11.291642591045765,-4.878805014927792,410.9018542077444,3.639525844861976,0.6014073849534997
2024-04-16,1865.4425164333477,161.0,09019850,17.87132300157233,327.817108114607,300.9049728164203,4.1736265056365,-4.12410607561739,450.8985306635779,2.112875519144254,0.2628521277085552
2024-04-17,2143.520903976207,185.0,09019850,0.0,594.1859757784312,299.72080838719904,9.037308955169086,-3.180374747399222,467.5094174508624,2.9658156901394737,0.4532393180946152
2024-04-18,2004.4817102047773,173.0,09019850,2.0956401581717534,484.87072617089416,299.5618467711354,6.167226084969119,-4.502541113131894,438.2826033235846,2.6914237552207165,0.3369026244843374
2024-04-19,1703.230123700013,147.0,09019850,0.1399827230101349,550.6244295413412,298.722834557241,6.42620627485589,-4.08456457791457,449.82941894463215,2.720537688402004,0.3502344718527249
